Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;PROFARMA;'7908615031422; ANTHELIOS AIRLICIUM COR 5 FPS80 40G;2024-11-23 06:22:46;RS;PROFARMA;1;9;24;;;;84,23
Python;PROFARMA;'3401399372926; ATODERM GEL DOUCHE 1L;2024-11-23 06:22:46;RS;PROFARMA;0;0;6;;;;140,95
Python;PROFARMA;'7891317031275;20 BI 435MG 10CPS;2024-11-23 06:22:46;RS;PROFARMA;1;144;100;;;;72,28
Python;PROFARMA;'7891317031282;20 BI 435MG 30CPS;2024-11-23 06:22:46;RS;PROFARMA;1;76;60;;;;177,75
Python;PROFARMA;'7891317031268;20 BI 435MG 5CPS;2024-11-23 06:22:46;RS;PROFARMA;1;37;100;;;;48,22
Python;PROFARMA;'7893454714912;4FLEX 30CPR;2024-11-23 06:22:46;RS;PROFARMA;1;20;48;;;;115,15
Python;PROFARMA;'7893454714929;4FLEX 60CPR;2024-11-23 06:22:46;RS;PROFARMA;0;0;30;;;;140,27
Python;PROFARMA;'3282770101669;A-OXITIVE AVENE SERUM 30ML;2024-11-23 06:22:46;RS;PROFARMA;1;19;12;;;;212,4
Python;PROFARMA;'7896094928091;AAS INF 100MG 120CPR;2024-11-23 06:22:46;RS;PROFARMA;1;448;96;67,17;0,07;1,55;58,68
Python;PROFARMA;'7896094928107;AAS INF 100MG 30CPR;2024-11-23 06:22:46;RS;PROFARMA;1;937;84;18,91;0,07;0,45;16,53
Python;PROFARMA;'7896094928046;AAS PROTECT 100MG 30CPR;2024-11-23 06:22:46;RS;PROFARMA;0;0;56;17,14;0,07;0,35;14,92
Python;PROFARMA;'7896241225530;ABLOK 100MG 30CPR;2024-11-23 06:22:46;RS;PROFARMA;1;30;48;43,48;0,05;1,41;42,72
Python;PROFARMA;'7896241225523;ABLOK 50MG 30CPR;2024-11-23 06:22:46;RS;PROFARMA;1;192;48;26,57;0,05;0,9;26,14
Python;PROFARMA;'7896241225547;ABLOK PLUS 100+25MG 30CPR;2024-11-23 06:22:46;RS;PROFARMA;1;102;48;54,38;0,05;1,56;53,22
Python;PROFARMA;'7896241225257;ABLOK PLUS 25+12,5MG 30CPR;2024-11-23 06:22:46;RS;PROFARMA;1;185;48;18,25;0,06;0,79;17,95
Python;PROFARMA;'7896112411529;ABLOK PLUS 25+12,5MG 60CPR;2024-11-23 06:22:46;RS;PROFARMA;1;95;32;36,51;0,05;1,13;35,81
Python;PROFARMA;'7896241225127;ABLOK PLUS 50+12,5MG 30CPR;2024-11-23 06:22:46;RS;PROFARMA;1;369;48;33,71;0,06;1,15;32,84
Python;PROFARMA;'7896112411512;ABLOK PLUS 50+12,5MG 60CPR;2024-11-23 06:22:46;RS;PROFARMA;1;97;32;67,45;0,05;1,87;65,95
Python;PROFARMA;'7898040320973;ABRILAR 7MG XPE 100ML;2024-11-23 06:22:46;RS;PROFARMA;1;999;35;34,83;0,1;1,71;33,06
Python;PROFARMA;'7506339325249;ABS ALWAYS NOT SC G C/AB 16UN;2024-11-23 06:22:46;RS;PROFARMA;0;0;12;;;;12,73
Python;PROFARMA;'7506339325263;ABS ALWAYS NOT SC G C/AB 32UN;2024-11-23 06:22:46;RS;PROFARMA;0;0;6;;;;24,57
Python;PROFARMA;'7506339394535;ABS ALWAYS NOT SC G C/AB 8UN;2024-11-23 06:22:46;RS;PROFARMA;1;29;24;;;;7,34
Python;PROFARMA;'7506339326031;ABS ALWAYS NOT SV G C/AB 16UN;2024-11-23 06:22:46;RS;PROFARMA;0;0;12;;;;12,73
Python;PROFARMA;'7506339326055;ABS ALWAYS NOT SV G C/AB 32UN;2024-11-23 06:22:46;RS;PROFARMA;0;0;6;;;;24,57
Python;PROFARMA;'7500435190640;ABS ALWAYS NOT SV G C/AB 48UN;2024-11-23 06:22:46;RS;PROFARMA;1;3;3;;;;37,96
Python;PROFARMA;'7506339394603;ABS ALWAYS NOT SV G C/AB 8UN;2024-11-23 06:22:46;RS;PROFARMA;0;0;24;;;;8,46
Python;PROFARMA;'7500435214650;ABS ALWAYS NOT SV XG C/AB 26UN;2024-11-23 06:22:46;RS;PROFARMA;1;2;6;;;;26,16
Python;PROFARMA;'7500435214667;ABS ALWAYS NOT SV XG C/AB 8UN;2024-11-23 06:22:46;RS;PROFARMA;0;0;18;;;;9,5
