Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;ORGAFARMA;'7896004718873;ALPRAZOLAM*B1 1MG 30CPR GMD;2024-11-26 06:33:24;MG;ORGAFARMA;1;1073;84;21,45;0,8998;0,0;2,1492899999999997
Python;ORGAFARMA;'7891317477592;SILDENAFILA 50MG 4CPR EUR;2024-11-26 06:33:24;MG;ORGAFARMA;1;23964;100;23,89;0,8623000000000001;0,0;3,289653
Python;ORGAFARMA;'7896004711126;SINVASTATINA 40MG 30CPR GMD;2024-11-26 06:33:24;MG;ORGAFARMA;1;1363;48;24,58;0,8198000000000001;0,0;4,429316
Python;ORGAFARMA;'7891317451035;ATENOL+CLORTA 50+12,5MG 30CPR EUR;2024-11-26 06:33:24;MG;ORGAFARMA;1;2374;100;26,36;0,7603;0,0;6,318492
Python;ORGAFARMA;'7896004712031;TRIANCINOLONA ORABASE PDA 10G GMD;2024-11-26 06:33:24;MG;ORGAFARMA;1;5794;56;11,47;0,7498;0,0;2,8697939999999997
Python;ORGAFARMA;'7891317141967;DIPROP BETAME+FOSFAT BETAME 5+2MG/ML 1AMP 1ML EUR;2024-11-26 06:33:24;MG;ORGAFARMA;1;12712;80;19,33;0,7397;0,0;5,031598999999999
Python;ORGAFARMA;'7891317000509;DESVENLAFAXINA*C1 50MG 30CPR EUR;2024-11-26 06:33:24;MG;ORGAFARMA;1;5459;100;106,85;0,7209;0,0;29,821835
Python;ORGAFARMA;'7896004712925;CLONAZEPAM*B1 2,5MG/ML GTS 20ML GMD;2024-11-26 06:33:24;MG;ORGAFARMA;1;1726;120;12,25;0,7143;0,0;3,499825
Python;ORGAFARMA;'7891317473709;LAMOTRIGINA*C1 100MG 30CPR EUR;2024-11-26 06:33:24;MG;ORGAFARMA;1;2064;100;52,38;0,7089;0,0;15,247818000000002
Python;ORGAFARMA;'7891317191733;CIPROFLOXACINO*AM 500MG 14CPR EUR;2024-11-26 06:33:24;MG;ORGAFARMA;1;5200;60;37,24;0,7089;0,0;10,840564000000002
Python;ORGAFARMA;'7891317433642;CICLOBENZAPRINA 10MG 30CPR EUR;2024-11-26 06:33:24;MG;ORGAFARMA;1;2850;100;31,63;0,6883;0,0;9,859070999999998
Python;ORGAFARMA;'7891317003050;DOXAZOSINA 4MG 30CPR EUR;2024-11-26 06:33:24;MG;ORGAFARMA;1;2997;100;56,69;0,6883;0,0;17,670272999999998
Python;ORGAFARMA;'7891317448677;RISPERIDONA*C1 2MG 30CPR EUR;2024-11-26 06:33:24;MG;ORGAFARMA;1;2262;80;23,94;0,6779999999999999;0,0;7,70868
Python;ORGAFARMA;'7896004719610;AMOXIC+CLAVUL*AM 875+125MG 14CPR GMD;2024-11-26 06:33:24;MG;ORGAFARMA;1;856;50;125,09;0,6335999999999999;0,0;45,832976
Python;ORGAFARMA;'7891317496388;NORETI+ESTRAD SERINGA 1ML EUR;2024-11-26 06:33:24;MG;ORGAFARMA;1;2597;50;20,51;0,3845;0,0;12,623905000000002
Python;ORGAFARMA;'7896094921979;NEOSALDINA 20DGS HYP;2024-11-26 06:33:24;MG;ORGAFARMA;1;9070;99;25,48;0,07;0,0;23,6964
Python;ORGAFARMA;'7896094999992;NEOSALDINA 30DGS HYP;2024-11-26 06:33:24;MG;ORGAFARMA;1;41878;77;32,94;0,07;0,0;30,6342
Python;ORGAFARMA;'7896094903036;BENEGRIP 150CPR 25X6 HYP;2024-11-26 06:33:24;MG;ORGAFARMA;1;1366;12;266,42;0,07;0,0;247,77060000000003
Python;ORGAFARMA;'7896094903067;BIOTONICO FONTOURA 400ML HYP;2024-11-26 06:33:24;MG;ORGAFARMA;1;1064;12;35,15;0,07;0,0;32,6895
Python;ORGAFARMA;'7896094915107;BENEGRIP 12CPR HYP;2024-11-26 06:33:24;MG;ORGAFARMA;1;5870;48;20,75;0,07;0,0;19,2975
Python;ORGAFARMA;'7896094999558;NEOSALDINA DIP 1G 10CPR HYP;2024-11-26 06:33:24;MG;ORGAFARMA;1;593;60;15,38;0,07;0,0;14,303400000000002
Python;ORGAFARMA;'7896094922105;NEBACETIN PDA 15G HYP;2024-11-26 06:33:24;MG;ORGAFARMA;1;1623;42;19,69;0,0001;0,0;19,688031000000002
Python;ORGAFARMA;'7896094930001;BUSCOPAN GTS 10MG/ML 20ML 1UNI HYP;2024-11-26 06:33:24;MG;ORGAFARMA;1;3060;60;17,69;0,0001;0,0;17,688231000000002
Python;ORGAFARMA;'7896094921399;BUSCOPAN COMP 10MG+250MG 20CPR HYP;2024-11-26 06:33:24;MG;ORGAFARMA;1;5784;120;19,51;0,0001;0,0;19,508049000000003
Python;ORGAFARMA;'7896094931299;BUSCOPAN COMPOSTO GOT 20ML HYP;2024-11-26 06:33:24;MG;ORGAFARMA;0;0;200;19,51;0,0001;0,0;19,508049000000003
