Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;SERVIMED;'7896241225530;ABLOK 100 MG 30 CP S;2024-12-27 12:32:34;DF;SERVIMED;1;29;48;43,47;0,05;2,91;44,21000000000001
Python;SERVIMED;'7908236801008;CITALOR 80 MG 30 CP R;2024-12-27 12:32:34;DF;SERVIMED;1;23;60;217,16;0,0;15,27;232,43
Python;SERVIMED;'7891142141279;DIPROSONE CREM 30 GR R;2024-12-27 12:32:34;DF;SERVIMED;1;84;72;40,410000000000004;0,0;2,84;43,25
Python;SERVIMED;'7891317001056;ACETILCISTEINA 100 MG 16 ENV G;2024-12-27 12:32:34;DF;SERVIMED;1;67;50;26,8;0,47;1,0;15,200000000000001
Python;SERVIMED;'7896006298526;VODOL CREM 28 GR R;2024-12-27 12:32:34;DF;SERVIMED;1;378;80;24,6;0,0;1,73;26,330000000000002
Python;SERVIMED;'7896255716963;SYNTHROID 75 MCG 30 CP T;2024-12-27 12:32:34;DF;SERVIMED;1;303;176;35,93;0,03;2,45;37,300000000000004
Python;SERVIMED;'7898037080286;COMPLEXO HOMEOPATICO N28 60 CP T;2024-12-27 12:32:34;DF;SERVIMED;1;21;50;18,78;0,1;1,19;18,09
Python;SERVIMED;'7896112477938;PRESSAT 5 MG 30 CP S;2024-12-27 12:32:34;DF;SERVIMED;1;119;48;56,050000000000004;0,05;3,75;57,0
Python;SERVIMED;'7891142128133;CELESTONE 0,50 MG 20 CP R;2024-12-27 12:32:34;DF;SERVIMED;0;0;60;15,89;0,03;1,09;16,5
Python;SERVIMED;'7896641803642;PROCTYL MONODOSE 10 BISN 3GR+10APLIC R;2024-12-27 12:32:34;DF;SERVIMED;1;77;56;63,940000000000005;0,0;4,5;68,44
Python;SERVIMED;'7896422505253;LANSOPRAZOL 15 MG 28 CAPS G;2024-12-27 12:32:34;DF;SERVIMED;0;0;77;81,95;0,37270000000000003;3,62;55,03
Python;SERVIMED;'7897316804179;LUMIGAN 0,03% COLIRIO 3 ML R;2024-12-27 12:32:34;DF;SERVIMED;0;0;60;141,75;0,0;9,97;151,72
Python;SERVIMED;'7896112435778;ARADOIS H 50/12,5 MG 30 CP S;2024-12-27 12:32:34;DF;SERVIMED;1;136;48;72,74;0,05;4,86;73,96000000000001
Python;SERVIMED;'7896261011106;TRILEPTAL 6% SUS OR INF 100 ML *R;2024-12-27 12:32:34;DF;SERVIMED;0;0;40;65,14;0,0;4,58;69,72
Python;SERVIMED;'7896637022835;MIOSAN 5 MG 30 CP R;2024-12-27 12:32:34;DF;SERVIMED;1;99;160;46,81;0,042;3,16;48,0
Python;SERVIMED;'7896241225127;ABLOK PLUS 50/12,5 MG 30 CP S;2024-12-27 12:32:34;DF;SERVIMED;1;389;48;33,7;0,05;2,25;34,27
Python;SERVIMED;'7891058224028;NATURETTI 16 CAPS T;2024-12-27 12:32:34;DF;SERVIMED;0;0;120;49,29;0,03;3,37;51,18
Python;SERVIMED;'7896094203259;NAPRIX D 5/25 MG 30 CP R;2024-12-27 12:32:34;DF;SERVIMED;0;0;24;53,96;0,03;3,68;56,02
Python;SERVIMED;'7891317177676;PRIMERA 30 MCG 21 CP S;2024-12-27 12:32:34;DF;SERVIMED;1;488;100;31,0;0,055;2,06;31,36
Python;SERVIMED;'7896070601260;NEULEPTIL 4% GTS 20 ML *R;2024-12-27 12:32:34;DF;SERVIMED;0;0;48;20,240000000000002;0,05;1,36;20,59
Python;SERVIMED;'7896422506250;BETAMET DIPROP+CETOCONAZOL POM 30 GR G;2024-12-27 12:32:34;DF;SERVIMED;1;374;90;23,89;0,6091000000000001;0,66;10,0
Python;SERVIMED;'7896422504812;CLOTRIMAZOL CREM 20 GR G;2024-12-27 12:32:34;DF;SERVIMED;1;1250;90;12,46;0,539;0,41000000000000003;6,15
Python;SERVIMED;'7891317008529;PONDERA 30 MG 30 CP *S;2024-12-27 12:32:34;DF;SERVIMED;1;55;100;233,33;0,055;15,5;236,0
Python;SERVIMED;'7896637022569;RETEMIC 5 MG 60 CP R;2024-12-27 12:32:34;DF;SERVIMED;1;109;112;55,370000000000005;0,042;3,73;56,769999999999996
Python;SERVIMED;'7898586631380;TIMOPTOL 0,5% COLIRIO 5 ML R;2024-12-27 12:32:34;DF;SERVIMED;0;0;160;16,54;0,0;1,17;17,71
Python;SERVIMED;'7891317007898;CEFALEXINA 250MG/5ML SUS OR 100ML GA;2024-12-27 12:32:34;DF;SERVIMED;0;0;40;46,06;0,35;2,11;32,050000000000004
