Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;SERVIMED;'7898074616042;DIVIDOL 12 CAPS R*;2025-01-08 15:33:02;SP;SERVIMED;0;0;25;42,14;0,0;0,0;42,14
Python;SERVIMED;'7896261000841;TRILEPTAL 600 MG 20 CP *R;2025-01-08 15:33:02;SP;SERVIMED;1;164;50;111,34;0,0;0,0;111,34
Python;SERVIMED;'7895858015664;LEITE MAGNESIA PHILLIPS HORTELA 120 ML T;2025-01-08 15:33:02;SP;SERVIMED;1;37;48;16,786226685796258;0,0;0,0;16,79
Python;SERVIMED;'7896112453154;SUPLEMENTO VITAMINICO BIOLAB REVITAM JUNIOR 120ML;2025-01-08 15:33:02;SP;SERVIMED;1;42;24;22,59837067809843;0,0599;0,0;21,240000000000002
Python;SERVIMED;'7896422506229;DIPIRONA SODICA GTS 10 ML G;2025-01-08 15:33:02;SP;SERVIMED;0;0;48;8,700000000000001;0,57;0,0;3,74
Python;SERVIMED;'7896269900983;NARAMIG 2,5 MG 4 CP R;2025-01-08 15:33:02;SP;SERVIMED;1;2;70;19,82;0,03;0,0;19,23
Python;SERVIMED;'7896070600126;AMPLICTIL 100 MG 20 CP *R;2025-01-08 15:33:02;SP;SERVIMED;0;0;120;10,56;0,03;0,0;10,24
Python;SERVIMED;'7896093013507;COLONIA SEIVA DE ALFAZEMA LAVANDA 118ML;2025-01-08 15:33:02;SP;SERVIMED;0;0;12;14,829268292682919;0,0;0,0;14,83
Python;SERVIMED;'7896269900235;VALTREX 500 MG 10 CP R;2025-01-08 15:33:02;SP;SERVIMED;1;11;50;154,01;0,0;0,0;154,01
Python;SERVIMED;'7896016806261;NALDECON NOITE 24 CP R;2025-01-08 15:33:02;SP;SERVIMED;1;369;48;42,71;0,01;0,0;42,28
Python;SERVIMED;'7897337707404;HYZAAR 100/25 MG 30 CP R;2025-01-08 15:33:02;SP;SERVIMED;0;0;40;91,3;0,0;0,0;91,3
Python;SERVIMED;'7896241274903;NORESTIN 0,35 MG 35 CP S;2025-01-08 15:33:02;SP;SERVIMED;1;167;48;10,950000000000001;0,05;0,0;10,4
Python;SERVIMED;'7891317001070;ACETILCISTEINA 600 MG 16 ENV G;2025-01-08 15:33:02;SP;SERVIMED;0;0;50;47,11;0,53;0,0;22,14
Python;SERVIMED;'7896658007255;COMBIRON B12 SOL OR 120 ML T;2025-01-08 15:33:02;SP;SERVIMED;0;0;24;16,2;0,0;0,0;16,2
Python;SERVIMED;'7896676406276;DIMORF LC 60 MG 60 CAPS *R;2025-01-08 15:33:02;SP;SERVIMED;0;0;16;239,48000000000002;0,07;0,0;222,72
Python;SERVIMED;'7896261000117;TEGRETOL CR 200 MG 20 CP *R;2025-01-08 15:33:02;SP;SERVIMED;0;0;100;25,6;0,0;0,0;25,6
Python;SERVIMED;'7896094201453;SIBLIMA 60/15 MCG 24 CP S;2025-01-08 15:33:02;SP;SERVIMED;0;0;60;32,480000000000004;0,03;0,0;31,51
