Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;SERVIMED;'7896676433043;ECOFILM COLIRIO 15 ML S;2025-01-14 11:31:52;PR;SERVIMED;0;0;50;41,54;0,05;0,0;36,1
Python;SERVIMED;'7896512909763;SABONETE EM BARRA PHEBO FRESCOR DA MANHA 90G 12UN;2025-01-14 11:31:52;PR;SERVIMED;1;769;12;42,866922234392106;0,0;0,0;42,87
Python;SERVIMED;'7896004712970;MESALAZINA 800 MG 30 CP G;2025-01-14 11:31:52;PR;SERVIMED;0;0;56;87,71000000000001;0,287;0,0;57,21
Python;SERVIMED;'7896512909190;TALCO GRANADO BEBE 100G;2025-01-14 11:31:52;PR;SERVIMED;1;355;12;10,08284281665576;0,0;0,0;10,08
Python;SERVIMED;'7891142171191;POLARAMINE CREM 30 GR R;2025-01-14 11:31:52;PR;SERVIMED;0;0;72;18,47;0,0;0,0;16,9
Python;SERVIMED;'7501001164645;SHAMPOO PANTENE CACHOS HIDRA VITAMINADOS 400ML;2025-01-14 11:31:52;PR;SERVIMED;0;0;6;19,157754010695182;0,0;0,0;19,16
Python;SERVIMED;'7896658009518;PRELONE FOSFATO 3MG SOL OR 60ML+PIPET R;2025-01-14 11:31:52;PR;SERVIMED;1;547;20;23,400000000000002;0,05;0,0;20,34
Python;SERVIMED;'7898040321390;OTO BETNOVATE SOL OTO 10 ML T;2025-01-14 11:31:52;PR;SERVIMED;1;440;40;27,04;0,04;0,0;23,75
Python;SERVIMED;'7896637023108;LEVOXIN 500 MG 10 CP SA;2025-01-14 11:31:52;PR;SERVIMED;0;0;96;125,73;0,02;0,0;112,72
Python;SERVIMED;'7896676410778;FUNTYL 250 MG 28 CP S;2025-01-14 11:31:52;PR;SERVIMED;1;67;32;226,04;0,09;0,0;188,17000000000002
Python;SERVIMED;'7896512905277;SABONETE EM BARRA GRANADO GLICERINA ERVA DOCE 90G 12UN;2025-01-14 11:31:52;PR;SERVIMED;0;0;6;57,146768893756835;0,0;0,0;57,15
Python;SERVIMED;'7897076912275;NORTRIPTILINA 25 MG 30 CAPS *G;2025-01-14 11:31:52;PR;SERVIMED;0;0;160;30,37;0,53;0,0;13,06
Python;SERVIMED;'7891060679724;ALICATE PARA CUTICULAS MUNDIAL CLASSIC REF: 522-C;2025-01-14 11:31:52;PR;SERVIMED;1;21756;120;13,361797780261789;0,0;0,0;13,36
Python;SERVIMED;'7896658004841;SOMALIUM GTS 20 ML *S;2025-01-14 11:31:52;PR;SERVIMED;0;0;40;20,14;0,02;0,0;18,06
Python;SERVIMED;'7891317431334;ESPIRONOLACTONA 50 MG 30 CP G;2025-01-14 11:31:52;PR;SERVIMED;1;426;135;34,62;0,53;0,0;14,89
Python;SERVIMED;'7590002032817;VICK VAPORUB POTE 30 GR T;2025-01-14 11:31:52;PR;SERVIMED;0;0;36;34,75;0,06;0,0;29,88
Python;SERVIMED;'78924529;DESODORANTE ROLL ON FEMININO DOVE INVISIBLE DRY 50ML;2025-01-14 11:31:52;PR;SERVIMED;1;12;12;7,5;0,0;0,0;7,5
Python;SERVIMED;'7894916501408;INDUX 50 MG 10 CP S;2025-01-14 11:31:52;PR;SERVIMED;0;0;48;55,84;0,05;0,0;48,53
Python;SERVIMED;'7891317029715;MELOXICAM 15 MG 10 CP G;2025-01-14 11:31:52;PR;SERVIMED;1;64;90;24,62;0,75;0,0;5,63
Python;SERVIMED;'7894916503082;LANZ 30 MG 28 CAPS S;2025-01-14 11:31:52;PR;SERVIMED;1;41;56;100,78;0,0;0,0;92,19
