Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;SERVIMED;'7891058326005;FRISIUM 20 MG 20 CP *R;2025-01-15 12:09:30;MS;SERVIMED;0;0;200;31,39;0,06;0,0;26,330000000000002
Python;SERVIMED;'7896094922204;EPAREMA 12 FLAC 10 ML T;2025-01-15 12:09:30;MS;SERVIMED;0;0;40;37,34;0,01;0,0;32,99
Python;SERVIMED;'7895858005962;INDOCID 50 MG 30 CAPS R;2025-01-15 12:09:30;MS;SERVIMED;1;15;54;37,94;0,0;0,0;32,8
Python;SERVIMED;'7896253900920;VIBRAL XPE ADU 120 ML R;2025-01-15 12:09:30;MS;SERVIMED;0;0;30;22,73;0,05;0,0;19,27
Python;SERVIMED;'7896026160018;ENXAGUANTE BUCAL NOPLAK 250ML;2025-01-15 12:09:30;MS;SERVIMED;0;0;12;19,837775821126492;0,0;0,0;19,84
Python;SERVIMED;'5702191025583;ADVANTAN CREM 15 GR R;2025-01-15 12:09:30;MS;SERVIMED;1;190;160;62,93;0,0;0,0;54,410000000000004
Python;SERVIMED;'7897595602503;HERPESIL 200 MG 25 CP S;2025-01-15 12:09:30;MS;SERVIMED;0;0;90;34,78;0,5;0,0;15,52
Python;SERVIMED;'7891058169015;ALLEGRA 180 MG 10 CAPS R;2025-01-15 12:09:30;MS;SERVIMED;0;0;120;92,64;0,06;0,0;77,72
Python;SERVIMED;'7896070600126;AMPLICTIL 100 MG 20 CP *R;2025-01-15 12:09:30;MS;SERVIMED;0;0;120;10,43;0,06;0,0;8,75
Python;SERVIMED;'7891721010026;DICLIN 21 CP S;2025-01-15 12:09:30;MS;SERVIMED;1;3;132;17,48;0,03;0,0;14,66
Python;SERVIMED;'7892828000620;ORGANONEURO CEREBRAL COM 25 COM 25 COMPRIMIDOS;2025-01-15 12:09:30;MS;SERVIMED;1;61;120;82,9;0,0;0,0;73,99
Python;SERVIMED;'7896658000393;FAMOX 40 MG 10 CP R;2025-01-15 12:09:30;MS;SERVIMED;1;74;50;39,980000000000004;0,05;0,0;33,9
Python;SERVIMED;'7896269900365;BETNOVATE POM 15 GR R;2025-01-15 12:09:30;MS;SERVIMED;0;0;60;26,400000000000002;0,07100000000000001;0,0;21,89
Python;SERVIMED;'7891721100017;CEBION 1 GR EFERV 10 CP T;2025-01-15 12:09:30;MS;SERVIMED;0;0;192;13,23;0,02;0,0;11,21
Python;SERVIMED;'7891142141279;DIPROSONE CREM 30 GR R;2025-01-15 12:09:30;MS;SERVIMED;1;57;72;40,410000000000004;0,0;0,0;36,07
Python;SERVIMED;'7896226102801;VITERGAN ZINCO PL 30 CP T;2025-01-15 12:09:30;MS;SERVIMED;1;46;25;87,44;0,0;0,0;78,04
Python;SERVIMED;'7891058021603;ANADOR 500 MG 128 X 4 CP (512 CP) S;2025-01-15 12:09:30;MS;SERVIMED;1;100;8;506,46000000000004;0,06;0,0;424,89
Python;SERVIMED;'7897411601543;HIRUDOID 500 GEL 40 GR T;2025-01-15 12:09:30;MS;SERVIMED;1;32;48;34,76;0,0;0,0;31,02
Python;SERVIMED;'7896637023009;LEVOXIN 500 MG 7 CP SA;2025-01-15 12:09:30;MS;SERVIMED;0;0;96;85,31;0,02;0,0;74,62
Python;SERVIMED;'7896658003189;DECADRON 4MG/ML INJ 1FA 2,5ML R;2025-01-15 12:09:30;MS;SERVIMED;1;906;30;15,290000000000001;0,05;0,0;12,96
Python;SERVIMED;'7896658005930;TRANSPULMIN XPE MENTA 150 ML R;2025-01-15 12:09:30;MS;SERVIMED;1;75;20;32,87;0,0;0,0;29,34
Python;SERVIMED;'7897595634177;ZINNAT 500 MG 14 CP RA;2025-01-15 12:09:30;MS;SERVIMED;1;128;108;243,78;0,03;0,0;204,45000000000002
Python;SERVIMED;'7898968453098;ATENSINA 0,100 MG 30 CP R;2025-01-15 12:09:30;MS;SERVIMED;1;2576;96;7,44;0,03;0,0;6,44
Python;SERVIMED;'7896637028417;LABIRIN 8 MG 30 CP R;2025-01-15 12:09:30;MS;SERVIMED;0;0;160;28,62;0,042;0,0;24,47
Python;SERVIMED;'7896658001680;VITA E 30 CAPS T;2025-01-15 12:09:30;MS;SERVIMED;1;103;24;34,92;0,05;0,0;33,17
Python;SERVIMED;'7896658001123;CANDICORT POM 30 GR S;2025-01-15 12:09:30;MS;SERVIMED;1;404;28;33,7;0,05;0,0;28,57
Python;SERVIMED;'7891721014642;EUTHYROX 25 MCG 50 CP S;2025-01-15 12:09:30;MS;SERVIMED;0;0;110;26,88;0,03;0,0;22,54
Python;SERVIMED;'7896637022415;LITOCIT 10 MG 60 CP T;2025-01-15 12:09:30;MS;SERVIMED;0;0;24;63,58;0,042;0,0;54,36
Python;SERVIMED;'7896255765473;IRUXOL 0,6UI POM DERM 50 GR TA;2025-01-15 12:09:30;MS;SERVIMED;1;35;25;108,56;0,05;0,0;92,05
Python;SERVIMED;'7896241221853;ABLOK 25 MG 30 CP S;2025-01-15 12:09:30;MS;SERVIMED;0;0;48;11,1;0,05;0,0;9,41
Python;SERVIMED;'7896658001789;ANTUX XPE 120 ML R;2025-01-15 12:09:30;MS;SERVIMED;1;606;24;34,77;0,0;0,0;31,03
Python;SERVIMED;'7892828001375;HIDRION 30 CP S;2025-01-15 12:09:30;MS;SERVIMED;1;371;50;30,240000000000002;0,0;0,0;26,990000000000002
Python;SERVIMED;'7896269900068;AEROLIN SOL P/NEBL C/CONTAGOTAS 10ML R;2025-01-15 12:09:30;MS;SERVIMED;0;0;120;16,990000000000002;0,07100000000000001;0,0;14,09
Python;SERVIMED;'7897930760943;TETRALYSAL 150 MG 16 CAPS RA;2025-01-15 12:09:30;MS;SERVIMED;1;109;72;77,54;0,0;0,0;67,04
