Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;SERVIMED;'7896006201052;VITMANIA FONT D 10.000 UI COM4 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;198;26,77;0,03;0,0;23,28
Python;SERVIMED;'7500435190657;ABSORVENTE ALWAYS NOITE G SECA COM ABAS 48 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;3;31,98425743454701;0,0;0,0;31,98
Python;SERVIMED;'7908458320400;SHAMPOO SALON LINE SOS BOMBA FORCA E ENGROSSAMENTO 300ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;6;12,68159630113178;0,0;0,0;12,68
Python;SERVIMED;'7891317025212;DIXIL 50MG/ML SOLUCAO SPRAY CAPILAR COM 25ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;24;27,61;0,055;0,0;23,39
Python;SERVIMED;'7622210527837;BALA BUBBALOO CITRICO BLUEBERRY 82,5G COM 14 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;1;51,67856251164154;0,0;0,0;51,68
Python;SERVIMED;'7898142865419;CHOCOLATE CHOKKO BISCOITO ARCOR 65G COM 12 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;6;26,23940554975037;0,0;0,0;26,240000000000002
Python;SERVIMED;'7891182035965;ESMALTE RISQUE NATURAL RENDASDO BRASIL VIDRILHOS COM 6 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;24;21,681819301746856;0,0;0,0;21,68
Python;SERVIMED;'7896658039850;PROTENA PLUS D COM 60 CAPSULAS;2025-01-29 12:16:29;RJ;SERVIMED;1;30;32;154,010695187166;0,0;0,0;154,01
Python;SERVIMED;'444819;CONDICIONADOR NIELY GOLD FOR MEN 175ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;12;5,946424168588379;0,0;0,0;5,95
Python;SERVIMED;'7896112407102;TAPAZOL 10MG COM 100 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;105;36;57,42;0,05;0,0;48,910000000000004
Python;SERVIMED;'7898215152347;LEITE EM PO INTEGRAL PIRACANJUBA 400G COM 25 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;1;337,65544982728807;0,0;0,0;337,66
Python;SERVIMED;'7896112403463;CARBONATO DE LITIO 300MG COM 90 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;119;30;44,64;0,35;0,0;26,02
Python;SERVIMED;'7896036095102;MOLHO TOMATE POMAROLA TRADICIONAL 520G COM 12 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;1;45,68288246449165;0,0;0,0;45,68
Python;SERVIMED;'8429420222359;GEL CREME FACIAL ISDIN ACNIBEN CONTROLE DE BRILHO E IMPERFEICOES 41,2G;2025-01-29 12:16:29;RJ;SERVIMED;1;77;24;65,64311493688008;0,0;0,0;65,64
Python;SERVIMED;'7896036000717;EXTRATO DE TOMATE ELEFANTE POTE 300G COM 24 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;1;152,776810248075;0,0;0,0;152,78
Python;SERVIMED;'7896004781358;ETORICOXIBE 90MG COM 7 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;48;37,03;0,5005000000000001;0,0;16,580000000000002
Python;SERVIMED;'7896658039539;PARZO 200MG COM 15 CAPSULAS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;36;47,1;0,0;0,0;42,230000000000004
Python;SERVIMED;'7908458320424;CREME PARA PENTEAR SALON LINESOS BOMBA FORCA ENGROSSAMENTO300ML;2025-01-29 12:16:29;RJ;SERVIMED;1;32;6;10,326191854854269;0,0;0,0;10,33
Python;SERVIMED;'7898489512656;LEITE DE AVEIA DAVENE HIPOALERGENICO 400ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;6;14,09263387834255;0,0;0,0;14,09
Python;SERVIMED;'7898945443029;LUVA DE PROCEDIMENTO EM LATEXSUPERMAX COM PO TAMANHO P COM100 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;10;17,20304650785934;0,0;0,0;17,2
Python;SERVIMED;'7896235354284;SABONETE LIQUIDO MONANGE REFIL FLOR DE LAVANDA 200ML;2025-01-29 12:16:29;RJ;SERVIMED;1;82;12;4,67588610247249;0,0;0,0;4,68
Python;SERVIMED;'7897076909343;ACECLOFENACO 100MG COM 24 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;235;80;66,53;0,73;0,0;16,11
Python;SERVIMED;'4006000005430;LENCO NIVEA DEMAQUILANTE 3EM1 REFRESCANTE AZUL COM 25 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;1;161;6;16,560323413374892;0,0;0,0;16,56
Python;SERVIMED;'7896112406402;EMBO 2,5MG COM 20 COMRPIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;670;50;57,120000000000005;0,05;0,0;48,65
Python;SERVIMED;'7899706237970;TINTURA IMEDIA EXCELLENCE NUDES 5U CASTANHO CLARO;2025-01-29 12:16:29;RJ;SERVIMED;1;379;12;22,194631090336607;0,0;0,0;22,19
Python;SERVIMED;'7893454714820;CONVIVIA COM 60 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;63;36;120,34667158399401;0,0;0,0;120,35000000000001
Python;SERVIMED;'7896658046513;TOTTI SL 10MG COM 20 COMPRIMIDOS SUBLINGUAIS;2025-01-29 12:16:29;RJ;SERVIMED;1;58;48;32,56;0,0;0,0;29,19
Python;SERVIMED;'7896007552849;FRALDA HUGGIES SUPREME CARE XXG HIPERZINHA 3X54 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;1;275;1;229,952521359226;0,0;0,0;229,95000000000002
Python;SERVIMED;'3282770154672;GEL DE LIMPEZA FACIAL AVENE CLEANANCE INTENSE REFIL 240G;2025-01-29 12:16:29;RJ;SERVIMED;1;1;12;59,157372609284415;0,0;0,0;59,160000000000004
Python;SERVIMED;'7898040321116;CREME PERNAS E PES VARICELL MATERNA GESTANTES 200G;2025-01-29 12:16:29;RJ;SERVIMED;1;9;24;43,569643262894786;0,0;0,0;43,57
Python;SERVIMED;'7896049528277;DESODORANTE AEROSOL HERBISSIMO CARE HIBISCO 150ML;2025-01-29 12:16:29;RJ;SERVIMED;1;66;12;7,666282680051729;0,0;0,0;7,67
Python;SERVIMED;'7896004785646;XAKILIS 2,5MG COM 60 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;32;50;222,33;0,0;0,0;199,34
Python;SERVIMED;'7898927564551;DEFORCE FLASH ORAL COM 30 FILMES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;90;64,02751962715342;0,0;0,0;64,03
Python;SERVIMED;'7896009301179;PATE DE ATUM COM PIMENTA COQUEIRO 170G COM 24 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;1;161,07434498239098;0,0;0,0;161,07
Python;SERVIMED;'7891106915076;ASPIRINA PREVENT 100MG COM 100 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;60;20;58,15;0,0;0,0;52,14
Python;SERVIMED;'3662042008443;THEALOZ DUO 10ML;2025-01-29 12:16:29;RJ;SERVIMED;1;270;150;60,71;0,01;0,0;53,89
Python;SERVIMED;'7891142982544;ADDERA + IMUNIDADE MAX VITAMINA D COM 30 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;12;89,60000000000001;0,03;0,0;77,93
Python;SERVIMED;'7891350040166;ESMALTE RISQUE METALICO NAO ME ROTULE COM 6 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;1;81;24;30,480378128639877;0,0;0,0;30,48
Python;SERVIMED;'7896094928732;LISADOR COLICA COM 20 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;120;19,3;0,03;0,0;16,79
Python;SERVIMED;'7899551308900;SUTRIPTAN 100MG COM 2 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;1121;48;45,910000000000004;0,18;0,0;33,75
Python;SERVIMED;'7908458320356;MASCARA SALON LINE #TODECACHOMATIZADORA VERMELHO CEREJA 300G;2025-01-29 12:16:29;RJ;SERVIMED;0;0;6;15,34086605661247;0,0;0,0;15,34
Python;SERVIMED;'7896009498152;CENTRUM MULHER COM 150 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;37;20;194,256476777285;0,0;0,0;194,26
Python;SERVIMED;'7500435214667;ABSORVENTE ALWAYS XG SUAVE COM ABAS 8 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;18;8,90432643717351;0,0;0,0;8,9
Python;SERVIMED;'7896261007390;ESTRADOT 25MCG COM 8 ADESIVOSTRANSDERMICOS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;90;95,72;0,02;0,0;84,11
Python;SERVIMED;'7896770982133;ROUPA INTIMA TENA PANTS CONFORT P/M 3X32 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;1;263,98939488459104;0,0;0,0;263,99
Python;SERVIMED;'7891058003883;ANADOR 1G COM 20 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;1;108;21,98;0,05;0,0;18,72
Python;SERVIMED;'7898586630345;RESTIVA 10MG COM 4 ADESIVOS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;120;289,89;0,0;0,0;259,92
Python;SERVIMED;'7896112407171;VONAUGASMAX COM 10 CAPSULAS;2025-01-29 12:16:29;RJ;SERVIMED;1;197;48;25,45;0,05;0,0;21,68
Python;SERVIMED;'7908458320660;CREME PARA PENTEAR SALON LINE#TODECACHO CRESPO DIVINO 300ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;6;10,879070183773658;0,0;0,0;10,88
Python;SERVIMED;'7908458320448;SPRAY SALON LINE SOS BOMBA FORCA E ENGROSSAMENTO 240ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;6;11,38778619832391;0,0;0,0;11,39
Python;SERVIMED;'444773;SABONETE EM BARRA ANTIBACTERIANO PROTEX AVEIA 85G;2025-01-29 12:16:29;RJ;SERVIMED;0;0;72;2,86273261307152;0,0;0,0;2,86
Python;SERVIMED;'7896004782249;DIENOGESTE 2MG COM 30 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;48;47,6;0,6414;0,0;15,3
Python;SERVIMED;'7896006214601;POMADA DE SULFATO DE NEOMICINA+BACITRACINA COM 10G;2025-01-29 12:16:29;RJ;SERVIMED;0;0;80;8,92;0,57;0,0;3,44
Python;SERVIMED;'7899674027641;SHAMPOO ABOVE A SECO FRESH COM150 ML;2025-01-29 12:16:29;RJ;SERVIMED;1;11;12;14,86799970584892;0,0;0,0;14,870000000000001
Python;SERVIMED;'7896658040221;FEMINIQUE CONTI 3/0,03MG COM 28 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;141;40;48,32;0,05;0,0;41,160000000000004
Python;SERVIMED;'7896112406280;PREGABALINA 150MG COM 60 CAPSULAS;2025-01-29 12:16:29;RJ;SERVIMED;1;92;32;190,73;0,72;0,0;47,88
Python;SERVIMED;'7896112400189;DOSS 50.000UI COM 12 CAPSULAS;2025-01-29 12:16:29;RJ;SERVIMED;1;589;48;118,84;0,05;0,0;101,22
Python;SERVIMED;'7896658039577;FUSOR 20MG 15ML;2025-01-29 12:16:29;RJ;SERVIMED;1;10;40;64,26;0,1;0,0;51,85
Python;SERVIMED;'7899706254434;CONDICIONADOR DERCOS ENERGY+ COM 200ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;24;90,62267879043969;0,0;0,0;90,62
Python;SERVIMED;'7891317024338;CREME PARA PERNAS CANSADAS OAZ COM 300ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;12;21,27858641752542;0,0;0,0;21,28
Python;SERVIMED;'7896036098318;OLEO COMPOSTO OLIVIA OREGANO 500ML COM 20 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;1;221,10762800418001;0,0;0,0;221,11
Python;SERVIMED;'7896770982126;ROUPA INTIMA TENA PANTS CONFORT G/EG 4X16 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;1;173,46545799265303;0,0;0,0;173,47
Python;SERVIMED;'7896036099759;MAIONESE LIZA CASEIRA 450G COM 12 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;1;81,02480746158906;0,0;0,0;81,02
Python;SERVIMED;'7896658046643;VITALIA XR 48MG COM 30 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;23;48;67,77;0,0;0,0;60,76
Python;SERVIMED;'7896094928510;TAMARINE DUAL FIT HIBISCO + FRUTAS VERMELHAS 400ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;6;8,10873976788198;0,0;0,0;8,11
Python;SERVIMED;'7896094210875;LAKOS 150MG COM 60 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;12;355,68;0,03;0,0;309,34000000000003
Python;SERVIMED;'7896006214717;OMEPRAZOL 20MG COM 56 CAPSULAS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;144;34,07;0,77;0,0;7,03
Python;SERVIMED;'7891142205735;PROTETOR SOLAR FACIAL EPISOL SMART COLOR FPS 50 40ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;12;127,172391071576;0,0;0,0;127,17
Python;SERVIMED;'7896658040177;PANTOMIX 40MG COM 28 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;41;50;41,57;0,0;0,0;37,27
Python;SERVIMED;'7899970402920;CHOCOLATE HERSHEYS MEIO AMARGO 82G 18 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;1;877;4;71,32227971446916;0,0;0,0;71,32000000000001
Python;SERVIMED;'7896112403517;FLAVENOS 900MG + 100MG COM 30COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;490;24;98,56;0,05;0,0;83,95
Python;SERVIMED;'7896658046995;VENOXIDE 450MG + 50MG COM 30 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;47;50;50,870000000000005;0,0;0,0;45,61
Python;SERVIMED;'7896007552825;FRALDA HUGGIES SUPREME CARE XG HIPERZINHA 3X56 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;1;411;1;195,460413412331;0,0;0,0;195,46
Python;SERVIMED;'7896658039706;OXCENE 4MG COM 30 SACHES;2025-01-29 12:16:29;RJ;SERVIMED;1;25;28;71,22;0,0;0,0;63,86
Python;SERVIMED;'8903855086859;SEIZLA 50MG COM 14 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;234;30,16;0,01;0,0;26,77
Python;SERVIMED;'7896006201182;VALERATO DE BETAMESONA+SULFATO DE GENTAMICINA+TOLNAFTATO+CLIOQUINOL 20G;2025-01-29 12:16:29;RJ;SERVIMED;1;29;80;22,1;0,61;0,0;7,73
Python;SERVIMED;'7896512928122;SABONETE GRANADO GLICERINA TERRAPEUTICS LAVANDA 90G COM 12 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;1;74;6;54,90396927016645;0,0;0,0;54,9
Python;SERVIMED;'7891317024307;CREME DE UREIA 3% OAZ COM 300ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;12;19,201430244375018;0,0;0,0;19,2
Python;SERVIMED;'7896007549726;FRALDA HUGGIES SUPREME CARE ROUPINHA HIPER XG 3X48 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;1;73;1;234,929876851274;0,0;0,0;234,93
Python;SERVIMED;'7908458320417;CONDICIONADOR SALON LINE SOS BOMBA FORCA E ENGROSSAMENTO 300ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;6;12,898953120410539;0,0;0,0;12,9
Python;SERVIMED;'7891317024499;GEL POS SOL ADULTO OAZ COM 120ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;12;8,27352072389965;0,0;0,0;8,27
Python;SERVIMED;'7500435225366;CARGA GILLETTE MACH 3 CARBONOCOM 2 UNIDADES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;72;21,178989219359266;0,0;0,0;21,18
Python;SERVIMED;'7896049502604;DESODORANTE AEROSOL HERBISSIMO MENTOS FRUIT 150ML;2025-01-29 12:16:29;RJ;SERVIMED;1;176;12;8,77121424143987;0,0;0,0;8,77
Python;SERVIMED;'7896658047046;JOGGER 500/400MG COM 90 CAPSULAS;2025-01-29 12:16:29;RJ;SERVIMED;1;178;24;144,94;0,25;0,0;97,46000000000001
Python;SERVIMED;'7896658039461;RUNNER 20MG COM 30 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;64;48;49,36;0,0;0,0;44,26
Python;SERVIMED;'7898040329600;FLORATIL AT 250MG COM 6 SACHES DE 1,25G;2025-01-29 12:16:29;RJ;SERVIMED;1;8;160;39,77;0,06;0,0;33,52
Python;SERVIMED;'7908458320509;ATIVADOR SALON LINE #TODECACHO DAY AFTER 300ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;6;12,60098712328011;0,0;0,0;12,6
Python;SERVIMED;'7896006200826;AMOXICILINA+CLAVULANATO DE POTASSIO 400/57 MG SUSPENSAO ORAL COM 70ML;2025-01-29 12:16:29;RJ;SERVIMED;1;3499;28;74,13;0,27;0,0;48,52
Python;SERVIMED;'7896004781365;ETORICOXIBE 90MG COM 14 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;48;71,83;0,4911;0,0;32,77
Python;SERVIMED;'7894916513050;RISEDROSS 150MG COM 2 COMPRIMIDOS;2025-01-29 12:16:29;RJ;SERVIMED;1;47;60;249,59;0,0;0,0;223,78
Python;SERVIMED;'7896094921269;COLEDUE-R 10MG + 10MG COM 30 CAPSULAS;2025-01-29 12:16:29;RJ;SERVIMED;0;0;60;61,64;0,03;0,0;53,61
Python;SERVIMED;'7896094927452;TAMARINE FIBRAS MAX 6,5G COM 10 SACHES;2025-01-29 12:16:29;RJ;SERVIMED;1;11;24;34,85893416927899;0,0;0,0;34,86
Python;SERVIMED;'7896006216711;CRONOPLEX 7,5 MG SOLUCAO EM GOTAS COM 20ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;90;14,1;0,0;0,0;12,64
Python;SERVIMED;'8718951539129;CREME DENTAL ELMEX SENSITIVE PROFESSIONAL COM 75G;2025-01-29 12:16:29;RJ;SERVIMED;0;0;48;12,826420890937008;0,0;0,0;12,83
Python;SERVIMED;'7898927564544;DEFORCE K+ ORAL COM 30 FILMES;2025-01-29 12:16:29;RJ;SERVIMED;0;0;90;107,408823304534;0,0;0,0;107,41
Python;SERVIMED;'7891150090088;KIT DOVE CABELOS CACHEADOS TEXTURAS REAIS SHAMPOO 350ML + CONDICIONADOR 175ML;2025-01-29 12:16:29;RJ;SERVIMED;0;0;8;17,60210846470648;0,0;0,0;17,6
