;Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
0;Python;NAZARIA;'7897930761674;CETAPHIL ADVAN MOISTURI 226G;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;70,46;0,0;0,0;70,46
1;Python;NAZARIA;'7891150045729;DEO REXONA AER WOMEN INVIS 2X90G+PR ESP;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;19,75;0,0;0,0;19,75
2;Python;NAZARIA;'7896699011617;BICO MAM LOLLY SIL BIG REDOND;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;6,65;0,0;0,0;6,65
3;Python;NAZARIA;'7891142204547;HYDRAPORIN AI 120G;2025-05-08 21:02:08;RN;NAZARIA;1;64;6;58,89;0,0;0,0;58,89
4;Python;NAZARIA;'7896016104954;SOFT COLOR 366;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;9,83;0,0;0,0;9,83
5;Python;NAZARIA;'7894916135115;NEULOX 60MG 30CAP        C1;2025-05-08 21:02:08;RN;NAZARIA;0;0;50;102,55;0,0;0,0;102,55
6;Python;NAZARIA;'7898108642085;ATADURA DE CREPE MICKEY 08CM;2025-05-08 21:02:08;RN;NAZARIA;1;545;216;1,63;0,0;0,0;1,63
7;Python;NAZARIA;'4005900039835;PROT NIVEA SOLAR SUN KIDS FPS30 150ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;12;29,49;0,0;0,0;29,49
8;Python;NAZARIA;'7897517913403;UNHAS RICCA VERMELHO PAIXAO;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;12,16;0,0;0,0;12,16
9;Python;NAZARIA;'3401344957253;NODE+INTENSIVO ANTICASPA 125ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;71,54;0,0;0,0;71,54
10;Python;NAZARIA;'7899706158329;MNY CS BATOM LIQ NO CLOSE;2025-05-08 21:02:08;RN;NAZARIA;0;0;144;30,18;0,0;0,0;30,18
11;Python;NAZARIA;'7898380410587;BROWNIE GOOD SOY CHOC S/GLUTEN 10X40G;2025-05-08 21:02:08;RN;NAZARIA;0;0;6;34,83;0,0;0,0;34,83
12;Python;NAZARIA;'7892828001382;HIDRION 100CPR;2025-05-08 21:02:08;RN;NAZARIA;0;0;25;109,63;0,0;0,0;109,63
13;Python;NAZARIA;'7896658035470;DESOGESTREL 0,075MG 84CPR (A4H-G);2025-05-08 21:02:08;RN;NAZARIA;1;6;40;71,5;0,7615999999999999;0,0;17,05
14;Python;NAZARIA;'7500435150309;CR DEN ORAL-B EXTRA FRESH 70G;2025-05-08 21:02:08;RN;NAZARIA;0;0;48;3,88;0,0;0,0;3,88
15;Python;NAZARIA;'7897473203914;POSPRAND 1,0MG 30CPR;2025-05-08 21:02:08;RN;NAZARIA;0;0;20;63,77;0,0;0,0;63,77
16;Python;NAZARIA;'7899706141062;LIPIKAR LRP AOX FPS60 200ML;2025-05-08 21:02:08;RN;NAZARIA;0;0;24;130,64;0,0;0,0;130,64
17;Python;NAZARIA;'7896181916864;RISPERIDONA 2MG 20CPR C1 (G);2025-05-08 21:02:08;RN;NAZARIA;0;0;50;132,12;0,0;0,0;132,12
18;Python;NAZARIA;'7896061990175;FRALDA BABYSEC PREMIUM XG 14UN;2025-05-08 21:02:08;RN;NAZARIA;0;0;10;148,39;0,0;0,0;148,39
19;Python;NAZARIA;'7897076922953;MONTELUCASTE SOD 4MG 30CPR (RBY-G);2025-05-08 21:02:08;RN;NAZARIA;1;19;192;45,58;0,63;0,0;16,86
20;Python;NAZARIA;'7896004776279;PREGABALINA 75MG 30CAP C1 (GM2-G);2025-05-08 21:02:08;RN;NAZARIA;1;1442;56;82,61;0,809;0,0;15,78
21;Python;NAZARIA;'7896026170475;MALVATRICIN PPU SOL 250ML;2025-05-08 21:02:08;RN;NAZARIA;1;2;12;31,53;0,14;0,0;27,12
22;Python;NAZARIA;'7908615060347;SPRAY ACIDIFICANTE ELSEVE GLYCOLIC GLOSS 200ML;2025-05-08 21:02:08;RN;NAZARIA;1;132;6;36,73;0,07;0,0;34,16
23;Python;NAZARIA;'7891152321616;BISC FORTALEZA MARIA CHOCOLATE 400G;2025-05-08 21:02:08;RN;NAZARIA;0;0;20;3,91;0,0;0,0;3,91
24;Python;NAZARIA;'7896227800881;SALONPAS DISP 40ENV 04 ADESIVO P;2025-05-08 21:02:08;RN;NAZARIA;0;0;24;121,2;0,08;0,0;111,5
25;Python;NAZARIA;'7896181900405;CARBAMAZEPINA 200MG 30CPR C1 (A4H-G);2025-05-08 21:02:08;RN;NAZARIA;0;0;60;12,52;0,0;0,0;12,52
26;Python;NAZARIA;'7891721024481;DEXA CITONEURIN 3AMP 1ML+3AMP 2ML;2025-05-08 21:02:08;RN;NAZARIA;1;3385;204;40,89;0,15;0,0;34,76
27;Python;NAZARIA;'7896111994429;ESM IMPALA CREM ALCATRAZ BLISTER;2025-05-08 21:02:08;RN;NAZARIA;0;0;72;3,82;0,0;0,0;3,82
28;Python;NAZARIA;'7899447600019;MELORA C MAX MASC FACIAL 30G;2025-05-08 21:02:08;RN;NAZARIA;0;0;25;125,15;0,0;0,0;125,15
29;Python;NAZARIA;'7897572001589;LIVIAL 2,5MG 28CPR;2025-05-08 21:02:08;RN;NAZARIA;0;0;10;86,95;0,0;0,0;86,95
30;Python;NAZARIA;'7896004775760;RUSOVAS 10MG 60CPR;2025-05-08 21:02:08;RN;NAZARIA;1;37;56;90,15;0,0;0,0;90,15
31;Python;NAZARIA;'7891010247324;LENCOS J&J BABY UMED SUAVIDADE 44UN;2025-05-08 21:02:08;RN;NAZARIA;0;0;24;11,94;0,0;0,0;11,94
32;Python;NAZARIA;'353885011624;ONETOUCH ULTRA PLUS 50STRIPS;2025-05-08 21:02:08;RN;NAZARIA;0;0;1;63,33;0,0;0,0;63,33
33;Python;NAZARIA;'7891317005832;RUVA 20MG 30CPR;2025-05-08 21:02:08;RN;NAZARIA;1;57;100;74,2;0,0;0,0;74,2
