Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;NAZARIA;'7896589403942;MAGRINS XILITOL+STEV SACHE 24X50X0,6G;2025-09-19 17:25:40;MA;NAZARIA;0;0;24;7,58;0,0;0,0;7,58
Python;NAZARIA;'7891317025311;MELATONINA 0,21MG GT MARACUJA 25ML;2025-09-19 17:25:40;MA;NAZARIA;1;155;96;24,25;0,04;0,0;23,28
Python;NAZARIA;'4006000075389;EUCERIN DERMOPURE GEL DE LIMP CONCENT 400G;2025-09-19 17:25:40;MA;NAZARIA;0;0;12;88,25;0,0;0,0;88,25
Python;NAZARIA;'7896094922198;EPAREMA 36FLAC 10ML GUAR;2025-09-19 17:25:40;MA;NAZARIA;0;0;12;141,64;0,12;0,0;124,64
Python;NAZARIA;'7897129302817;VITALISS FACIAL 30CAP;2025-09-19 17:25:40;MA;NAZARIA;0;0;60;136,57;0,0;0,0;136,57
Python;NAZARIA;'7896138700508;SORO FISIOLOGICO 0,9% 250ML ARBORETO;2025-09-19 17:25:40;MA;NAZARIA;0;0;24;3,95;0,0;0,0;3,95
Python;NAZARIA;'7891800662832;CURATIVO CREMER ALIVIO DOR JOELHO 5UN;2025-09-19 17:25:40;MA;NAZARIA;0;0;22;17,55;0,05;0,0;16,67
Python;NAZARIA;'7896658039447;ALGILIVE 320MG 10CAP;2025-09-19 17:25:40;MA;NAZARIA;0;0;48;44,65;0,05;0,0;42,42
Python;NAZARIA;'7898336434537;TIPOIA IMOBILIZADORA ESTOF VELPEAU AZUL P;2025-09-19 17:25:40;MA;NAZARIA;0;0;50;76,7;0,0;0,0;76,7
Python;NAZARIA;'7896685301388;PROSTOKOS 200MCG 50CPR VG   C1;2025-09-19 17:25:40;MA;NAZARIA;0;0;12;1800,49;0,0;0,0;1800,49
Python;NAZARIA;'7896094921412;BUSCODUO 500MG 20CPR;2025-09-19 17:25:40;MA;NAZARIA;1;3404;120;30,08;0,035;0,0;29,03
Python;NAZARIA;'7896641800023;ALBOCRESIL OVL 6UN;2025-09-19 17:25:40;MA;NAZARIA;0;0;91;18,85;0,0;0,0;18,85
Python;NAZARIA;'7898148291311;METFORMINA850MG 400CPR     (G);2025-09-19 17:25:40;MA;NAZARIA;0;0;12;77,38;0,0;0,0;77,38
Python;NAZARIA;'7896026302999;SPIRIVA RESPIMAT 2,5MCG 4ML;2025-09-19 17:25:40;MA;NAZARIA;1;54;70;399,34;0,0;0,0;399,34
Python;NAZARIA;'7896004706573;CELERGIN 10CPR (E3S);2025-09-19 17:25:40;MA;NAZARIA;0;0;60;22,17;0,0;0,0;22,17
Python;NAZARIA;'7891317137557;COQUES 200MG 10CAP C1;2025-09-19 17:25:40;MA;NAZARIA;1;373;135;35,79;0,05;0,0;34,0
Python;NAZARIA;'7891350040814;SAB LIQ BOZZANO CARVAO ATIV RF 200ML;2025-09-19 17:25:40;MA;NAZARIA;0;0;12;5,93;0,0;0,0;5,93
Python;NAZARIA;'7898948648131;UTROGESTAN 100MG 30CAP;2025-09-19 17:25:40;MA;NAZARIA;1;325;210;66,4;0,0;0,0;66,4
Python;NAZARIA;'7899706135504;BLEMISH+AGE SKC DEFENSE 30ML;2025-09-19 17:25:40;MA;NAZARIA;0;0;24;313,49;0,0;0,0;313,49
Python;NAZARIA;'7897595634177;ZINNAT 500MG 14CPR *;2025-09-19 17:25:40;MA;NAZARIA;0;0;108;262,78;0,0;0,0;262,78
Python;NAZARIA;'7896007550166;FRA PISC HUG LIT SWIM M FLOWP 12UN;2025-09-19 17:25:40;MA;NAZARIA;0;0;2;38,17;0,0;0,0;38,17
Python;NAZARIA;'7891182015783;ESMALT RISQ CREM VER MARAVILHA BL 8ML;2025-09-19 17:25:40;MA;NAZARIA;0;0;12;3,98;0,0;0,0;3,98
